Year,Month,Day
800,,
801,,
802,,
803,,
804,,
805,,
806,,
807,,
808,,
809,,
810,,
811,,
812,4,1
813,,
814,,
815,4,15
816,,
817,,
818,,
819,,
820,,
821,,
822,,
823,,
824,,
825,,
826,,
827,,
828,,
829,,
830,,
831,4,6
832,,
833,,
834,,
835,,
836,,
837,,
838,,
839,,
840,,
841,,
842,,
843,,
844,,
845,,
846,,
847,,
848,,
849,,
850,,
851,4,18
852,,
853,4,14
854,,
855,,
856,,
857,,
858,,
859,,
860,,
861,,
862,,
863,,
864,4,9
865,,
866,4,16
867,,
868,,
869,4,5
870,,
871,,
872,,
873,,
874,,
875,,
876,,
877,,
878,,
879,,
880,,
881,,
882,,
883,,
884,,
885,,
886,,
887,,
888,,
889,4,14
890,,
891,4,19
892,4,17
893,,
894,4,16
895,4,14
896,4,13
897,,
898,,
899,,
900,,
901,,
902,4,12
903,,
904,,
905,,
906,,
907,,
908,4,7
909,,
910,,
911,,
912,4,4
913,4,20
914,,
915,,
916,,
917,4,5
918,,
919,,
920,,
921,,
922,,
923,4,14
924,,
925,,
926,4,8
927,,
928,,
929,,
930,4,7
931,,
932,,
933,4,16
934,,
935,,
936,,
937,,
938,,
939,,
940,,
941,4,19
942,,
943,,
944,,
945,,
946,,
947,,
948,,
949,4,17
950,4,5
951,,
952,,
953,,
954,,
955,3,30
956,,
957,4,22
958,4,19
959,4,7
960,4,10
961,3,28
962,,
963,4,4
964,,
965,4,14
966,4,8
967,4,13
968,,
969,4,8
970,,
971,,
972,4,16
973,,
974,4,18
975,4,11
976,,
977,4,22
978,,
979,4,14
980,,
981,,
982,,
983,,
984,,
985,4,4
986,,
987,,
988,,
989,4,9
990,,
991,,
992,,
993,,
994,,
995,,
996,,
997,,
998,,
999,,
1000,4,15
1001,,
1002,,
1003,,
1004,4,26
1005,,
1006,4,10
1007,4,16
1008,,
1009,,
1010,,
1011,,
1012,,
1013,,
1014,4,25
1015,,
1016,4,20
1017,4,9
1018,4,23
1019,4,8
1020,,
1021,,
1022,,
1023,,
1024,,
1025,,
1026,,
1027,,
1028,,
1029,4,26
1030,,
1031,4,7
1032,4,20
1033,4,12
1034,4,6
1035,,
1036,4,13
1037,,
1038,,
1039,,
1040,,
1041,4,13
1042,,
1043,,
1044,,
1045,,
1046,,
1047,,
1048,,
1049,,
1050,,
1051,,
1052,,
1053,,
1054,,
1055,,
1056,,
1057,,
1058,,
1059,,
1060,4,17
1061,,
1062,,
1063,,
1064,,
1065,,
1066,4,15
1067,,
1068,,
1069,,
1070,,
1071,,
1072,,
1073,,
1074,,
1075,,
1076,,
1077,,
1078,,
1079,,
1080,4,11
1081,,
1082,,
1083,4,6
1084,4,29
1085,,
1086,,
1087,,
1088,4,13
1089,,
1090,4,15
1091,,
1092,,
1093,4,15
1094,,
1095,4,10
1096,4,5
1097,,
1098,4,10
1099,4,13
1100,,
1101,,
1102,4,14
1103,,
1104,4,17
1105,4,24
1106,,
1107,4,15
1108,,
1109,,
1110,,
1111,4,23
1112,4,13
1113,,
1114,4,10
1115,,
1116,,
1117,4,19
1118,4,12
1119,,
1120,4,13
1121,,
1122,,
1123,4,22
1124,4,7
1125,4,21
1126,4,18
1127,4,17
1128,4,20
1129,4,16
1130,4,13
1131,4,13
1132,,
1133,,
1134,4,16
1135,,
1136,,
1137,,
1138,,
1139,4,23
1140,4,12
1141,4,21
1142,,
1143,4,20
1144,,
1145,4,17
1146,,
1147,,
1148,,
1149,,
1150,,
1151,,
1152,,
1153,,
1154,4,6
1155,,
1156,3,30
1157,,
1158,,
1159,4,13
1160,,
1161,4,22
1162,,
1163,4,22
1164,4,9
1165,4,16
1166,4,5
1167,4,21
1168,,
1169,4,22
1170,4,23
1171,,
1172,4,12
1173,4,27
1174,4,22
1175,4,23
1176,4,22
1177,,
1178,,
1179,4,13
1180,4,7
1181,,
1182,,
1183,4,11
1184,4,24
1185,4,25
1186,,
1187,4,14
1188,4,16
1189,,
1190,4,22
1191,4,16
